oracle_id	oracle_version	ledger_entry	oracle_type	oracle	pass_fail_rule	classification	applicability
OR-0560	1.0.0	0560	positive predicate	Query, set 1/31/32, query, and restore.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0561	1.0.0	0561	positive predicate	Hold FCB bytes constant while changing current user and repeat lookup.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0562	1.0.0	0562	positive predicate	Place the target only in another user and require ordinary failure.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0563	1.0.0	0563	positive predicate	Make the same exact name under two user numbers and inspect entry byte 0.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0564	1.0.0	0564	positive predicate	Operate on duplicate names and verify the other user’s entry/content remains.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0565	1.0.0	0565	permitted variation	Require restore/reopen/new Search First after user change.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0566	1.0.0	0566	positive predicate	Enumerate another-user entry then show ordinary Open still fails.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0567	1.0.0	0567	positive predicate	Issue USER, run a transient Function-32 query, and test visibility.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0568	1.0.0	0568	anti-requirement	Test namespace results without asserting security properties.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0569	1.0.0	0569	positive predicate	Install marker COMs and invoke each unprefixed resident name.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0570	1.0.0	0570	positive predicate	Test blank, exact, wildcard, system-attributed, user, and drive cases.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0571	1.0.0	0571	permitted variation	Validate names/visibility without sorting or pixel-exact layout requirements.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0572	1.0.0	0572	positive predicate	Test exact, partial wildcard, all wildcard with N/Y, and other-user preservation.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0573	1.0.0	0573	permitted variation	Attempt ERA on a controlled read-only-attributed entry.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0574	1.0.0	0574	positive predicate	Test success, collision, missing source, drive conflict, and duplicate other-user names.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0575	1.0.0	0575	positive predicate	SAVE known memory pages and verify exact file length/content.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0576	1.0.0	0576	permitted variation	Exercise replacement with controlled allocation failure.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0577	1.0.0	0577	positive predicate	Test text, empty, embedded controls, 1Ah, multirecord, and missing files.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0578	1.0.0	0578	positive predicate	Test 0, 1, 15, 16 and a following transient Function-32 query.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0579	1.0.0	0579	positive predicate	Test token errors, missing files, collision, invalid count, and no-space cases.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0580	1.0.0	0580	profile-gated positive	Profile corpus-tests exact layout/text; baseline tests semantic file listing and command result.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI resident-presentation profile
OR-0581	1.0.0	0581	positive predicate	Inject a final BIOS read and write failure and verify that the direct caller is suspended at physical-error presentation.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0582	1.0.0	0582	positive predicate	Compare EOF, unwritten-record, capacity, and no-match cases with injected BIOS failures and verify distinct return/presentation paths.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0583	1.0.0	0583	permitted variation	Fail the directory read during Search, ignore, and inspect the returned slot, DMA record, and continuation behavior independently.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0584	1.0.0	0584	permitted variation	Inject pre-transfer directory-write failures and compare the returned value with an independently read post-operation disk image.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0585	1.0.0	0585	permitted variation	Capture every public state object before and after ignored failures without treating unchanged or advanced fields as success proof.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0586	1.0.0	0586	positive predicate	Place a marker after the BDOS call, inject failure, answer with Control-C, and verify the marker is absent and CCP recovery occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0587	1.0.0	0587	positive predicate	Abort an injected failure, then execute a CCP command and an independent healthy BDOS disk operation.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0588	1.0.0	0588	anti-requirement	Compare distinct conforming implementations by public post-restart behavior rather than internal call sequence or addresses.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0589	1.0.0	0589	positive predicate	Compare the first rejected COM record with runtime writes below the advertised 0006h ceiling using a safe private stack and recovery path.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0590	1.0.0	0590	positive predicate	Overwrite controlled CCP bytes after adopting a private stack, avoid RET, invoke WBOOT, and verify a usable command environment is restored.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0591	1.0.0	0591	permitted variation	Test documented accesses normally and treat destructive writes only as isolated takeover cases with an independently retained recovery path.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0592	1.0.0	0592	permitted variation	Vary entry stack placement; require immediate RET, but require an overlaying program to establish its own stack before consuming that region.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0593	1.0.0	0593	positive predicate	From an arbitrary pre-BOOT public-state pattern, invoke the configured BOOT entry and verify a usable A-drive CCP/BDOS environment and valid 0000h/0005h gateways; do not require a particular loader or sign-on.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0594	1.0.0	0594	permitted variation	A system may retain or overwrite unspecified memory during BOOT; applications must rely only on documented post-BOOT state.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0595	1.0.0	0595	positive predicate	Corrupt safe gateway operands and select a nondefault DMA, then enter WBOOT and verify reconstructed gateways, DMA 0080h, and a usable CCP.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0596	1.0.0	0596	permitted variation	Applications shall remain correct whether such unspecified state survives or is overwritten; implementations need not reproduce the reference residue.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0597	1.0.0	0597	permitted variation	After WBOOT, either loss or BIOS-defined retention of previously pending unconsumed console input is compatible unless the configured BIOS interface separately promises otherwise.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0598	1.0.0	0598	positive predicate	Invoke documented BIOS vector entries through the configured vector and verify the documented call interface.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0599	1.0.0	0599	positive predicate	Inspect DPH-derived runtime structures and verify documented fields required by compatible software.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0600	1.0.0	0600	positive predicate	Compare direct BIOS access with BDOS operations and verify that BIOS behavior remains at the device layer.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0601	1.0.0	0601	permitted variation	Require documented BIOS behavior while permitting implementation-specific hardware abstraction choices.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0602	1.0.0	0602	positive predicate	Open or create a controlled file, select a random record in the FCB, set DMA, call Function 40, and verify the target record.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0603	1.0.0	0603	positive predicate	Write record 10 of a new file on a multi-record allocation-block disk and verify preceding record 9 reads successfully as 128 zero bytes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0604	1.0.0	0604	permitted variation	Vary allocation-block size and distant target records; applications shall not require holes outside allocated blocks to read as zeros.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0605	1.0.0	0605	positive predicate	Test success, exhausted storage, and nonzero R2 overflow with controlled images and verify the corresponding codes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0606	1.0.0	0606	positive predicate	Compare direct BIOS character calls with BDOS console functions and verify the documented layering boundary.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0607	1.0.0	0607	positive predicate	Exercise each character path independently and verify that the selected device service is used.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0608	1.0.0	0608	positive predicate	Change IOBYTE assignments and verify subsequent device operations use the updated mapping.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0609	1.0.0	0609	positive predicate	Set values through Function 8 and direct access, query through the other path, and verify configured device routing.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0610	1.0.0	0610	positive predicate	Begin with distinct field values, change each assignment independently, and verify the remaining six bits.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0611	1.0.0	0611	permitted variation	Accept valid assignment states while testing unavailable mappings according to the declared device profile.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0612	1.0.0	0612	positive predicate	Display fields, make valid changes, attempt an invalid name, and compare IOBYTE before and after each action.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0613	1.0.0	0613	positive predicate	Validate empty, populated, and nearly full media against every public field.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0614	1.0.0	0614	positive predicate	Exercise both DSM classes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0615	1.0.0	0615	positive predicate	Parse a nonidentity translation profile without assuming contiguous physical directory sectors.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0616	1.0.0	0616	permitted variation	Accept distinct declared profiles implementing the same logical interfaces.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0617	1.0.0	0617	positive predicate	Compare a configured direct read with BDOS access and reject hard-coded foreign geometry.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0618	1.0.0	0618	permitted variation	Detect/report corrupt fixtures without requiring a particular repair choice; I044 ERROR RECOVERY BDOS BIOS subsystem IG AG.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0619	1.0.0	0619	permitted variation	Relocate or wrap the BDOS implementation while preserving CALL 0005h and verify conforming applications continue to operate; do not accept a private-target caller as a general conformance requirement.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0620	1.0.0	0620	positive predicate	Submit a deterministic multi-command file ending in a unique transient marker; verify ordered execution across returns, exhaustion cleanup, and subsequent console prompt.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0621	1.0.0	0621	positive predicate	Activate XSUB from a submission, run a transient that calls Function 10, place a known following record in the stream, and verify the counted buffer and continued command execution.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0622	1.0.0	0622	positive predicate	Load a transient containing a patchable instruction, change an operand in place, execute it, and verify the changed result; repeat at more than one valid TPA placement.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0623	1.0.0	0623	positive predicate	Run an 8080-only instruction/flag probe and representative CP/M software on the claimed execution environment.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0624	1.0.0	0624	positive predicate	Test profile-specific instruction families separately from CP/M service tests, then run the inherited generic CP/M suite unchanged.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0625	1.0.0	0625	anti-requirement	Do not fail a generic 8080-profile implementation merely because a Z80-only transient cannot execute.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0626	1.0.0	0626	permitted variation	A generic suite may verify permitted variation or trapping; stronger behavior requires a named profile.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0627	1.0.0	0627	anti-requirement	Test such properties only under a profile that explicitly advertises them.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
